,LONGITUDE,LATITUDE,Cluster
84752,-0.1910400390625,53.625,19
84753,-2.078125,57.15625,7
84757,-0.1910400390625,53.625,19
84761,-0.191162109375,53.625,19
84765,-0.1910400390625,53.625,19
84767,-0.196044921875,53.625,19
84774,-0.1959228515625,53.625,19
84777,-0.196044921875,53.625,19
84806,-0.26171875,53.75,74
84821,-1.3330078125,50.84375,44
84822,0.541015625,49.46875,124
84824,0.541015625,49.46875,124
84828,-1.3236083984375,50.84375,44
84834,-1.3349609375,50.84375,44
84851,-1.3916015625,50.875,12
84852,-1.3935546875,50.875,12
84858,-1.3935546875,50.875,12
84859,0.347900390625,51.46875,42
84870,-0.2010498046875,53.625,19
84885,0.349365234375,51.46875,42
84891,0.15380859375,49.46875,16
84895,-3.021484375,53.4375,2
84912,-0.2308349609375,53.65625,275
84913,-0.2314453125,53.65625,275
84914,-0.2315673828125,53.65625,275
84915,-0.2314453125,53.65625,275
84916,-0.2344970703125,53.65625,275
84917,-0.2314453125,53.65625,275
84918,-0.2314453125,53.65625,275
84919,-0.2314453125,53.65625,275
84920,-0.2314453125,53.65625,275
84921,-0.2314453125,53.65625,275
84922,-0.2314453125,53.65625,275
84923,-0.2314453125,53.65625,275
84953,-1.1572265625,54.59375,24
84975,0.33349609375,51.46875,42
84976,-0.1995849609375,53.625,19
84977,-0.1995849609375,53.625,19
84978,-0.1995849609375,53.625,19
84979,-0.1995849609375,53.625,19
84980,-0.1995849609375,53.625,19
84981,-0.1995849609375,53.625,19
84982,-0.1995849609375,53.625,19
84983,-0.19921875,53.625,19
84984,-0.1995849609375,53.625,19
84986,-0.1995849609375,53.625,19
84987,-0.1995849609375,53.625,19
84988,-0.1990966796875,53.625,19
84989,-0.1995849609375,53.625,19
84990,-0.1995849609375,53.625,19
84991,-0.1995849609375,53.625,19
84992,-0.1995849609375,53.625,19
84993,-0.1995849609375,53.625,19
84994,-0.1995849609375,53.625,19
84995,-0.1995849609375,53.625,19
84996,-0.1995849609375,53.625,19
84997,-0.1995849609375,53.625,19
84998,-0.1995849609375,53.625,19
84999,-0.1995849609375,53.625,19
85000,-0.1995849609375,53.625,19
85001,-0.1995849609375,53.625,19
85002,-0.1995849609375,53.625,19
85003,-0.1995849609375,53.625,19
85004,-0.1995849609375,53.625,19
85005,-0.1995849609375,53.625,19
85076,-3.0078125,53.4375,2
85085,-0.189208984375,53.625,19
85111,-1.3984375,50.90625,143
85132,-1.392578125,50.875,12
85139,-1.154296875,54.59375,24
85169,-3.01953125,53.46875,9
85174,-1.44140625,50.90625,11
85183,-3.025390625,53.46875,9
85192,-1.44140625,50.90625,11
85203,-3.03125,53.46875,9
85207,-1.44140625,50.90625,11
85209,-3.025390625,53.46875,9
85216,-3.029296875,53.46875,9
85221,-3.03125,53.46875,9
85228,-3.025390625,53.46875,9
85230,-1.44140625,50.90625,11
85234,-3.017578125,53.4375,2
85278,-1.326171875,50.84375,44
85300,0.3505859375,51.46875,42
85340,-0.1888427734375,53.625,19
85425,-3.021484375,53.46875,9
85461,-1.3935546875,50.875,12
85468,-1.4267578125,50.90625,11
85473,-1.154296875,54.59375,24
85484,-1.3359375,50.84375,44
85487,-2.080078125,57.15625,7
85505,0.18359375,49.46875,16
85509,0.1248779296875,49.46875,16
85510,0.1182861328125,49.46875,16
85511,0.1650390625,49.46875,16
85512,0.1705322265625,49.46875,16
85513,0.170654296875,49.46875,16
85516,0.170654296875,49.46875,16
85525,-1.3291015625,50.84375,44
85527,-0.19482421875,53.625,19
85536,0.2481689453125,51.46875,279
85537,0.2481689453125,51.46875,279
85538,0.2481689453125,51.46875,279
85539,0.2481689453125,51.46875,279
85540,0.2481689453125,51.46875,279
85541,0.2481689453125,51.46875,279
85542,0.2481689453125,51.46875,279
85543,0.252685546875,51.46875,279
85544,0.2481689453125,51.46875,279
85545,0.252685546875,51.46875,279
85546,0.2481689453125,51.46875,279
85547,0.2481689453125,51.46875,279
85548,0.2481689453125,51.46875,279
85549,0.2481689453125,51.46875,279
85550,0.252685546875,51.46875,279
85551,0.2481689453125,51.46875,279
85552,0.2481689453125,51.46875,279
85553,0.2481689453125,51.46875,279
85554,0.2481689453125,51.46875,279
85555,0.2481689453125,51.46875,279
85556,0.252685546875,51.46875,279
85557,0.2481689453125,51.46875,279
85558,0.252685546875,51.46875,279
85559,0.2481689453125,51.46875,279
85560,-0.2353515625,53.65625,275
85561,0.2481689453125,51.46875,279
85562,0.2481689453125,51.46875,279
85563,0.2481689453125,51.46875,279
85564,0.252685546875,51.46875,279
85565,0.252685546875,51.46875,279
85566,0.2481689453125,51.46875,279
85567,0.2481689453125,51.46875,279
85568,0.2481689453125,51.46875,279
85569,0.2481689453125,51.46875,279
85570,0.2481689453125,51.46875,279
85571,0.252685546875,51.46875,279
85572,0.2481689453125,51.46875,279
85573,-0.231689453125,53.65625,275
85574,0.2481689453125,51.46875,279
85575,0.252685546875,51.46875,279
85576,0.2481689453125,51.46875,279
85577,0.252685546875,51.46875,279
85578,0.2481689453125,51.46875,279
85579,0.2481689453125,51.46875,279
85580,0.252685546875,51.46875,279
85581,0.2481689453125,51.46875,279
85582,0.2481689453125,51.46875,279
85583,0.2481689453125,51.46875,279
85584,0.2481689453125,51.46875,279
