,LONGITUDE,LATITUDE,imo,Duration,Cluster
2213,-1.5283203125,50.75,9446972,7,69
2214,-1.5302734375,50.75,9446972,11,68
2216,-1.5302734375,50.75,9446972,9,68
2217,-1.5283203125,50.75,9446972,7,69
2218,-1.5302734375,50.75,9446972,11,68
2220,-1.5302734375,50.75,9446972,12,68
2221,-1.5283203125,50.75,9446972,7,69
2224,-1.5283203125,50.75,9446972,9,69
2225,-1.5283203125,50.75,9446972,8,69
2226,-1.5302734375,50.75,9446972,11,68
2228,-1.5283203125,50.75,9446972,11,69
2231,-1.5283203125,50.75,9446972,7,69
2232,-1.5302734375,50.75,9446972,12,68
2236,-1.529296875,50.75,9446972,11,70
2237,-1.5283203125,50.75,9446972,7,69
2238,-1.529296875,50.75,9446972,9,70
2242,-1.5302734375,50.75,9446972,12,68
2243,-1.529296875,50.75,9446972,7,70
2244,-1.5302734375,50.75,9446972,9,68
2245,-1.5283203125,50.75,9446972,8,69
2246,-1.5302734375,50.75,9446972,13,68
2247,-1.5283203125,50.75,9446972,7,69
2249,-1.5283203125,50.75,9446972,8,69
2250,-1.5302734375,50.75,9446972,11,68
2251,-1.5283203125,50.75,9446972,7,69
2252,-1.5302734375,50.75,9446972,10,68
2254,-1.5302734375,50.75,9446972,12,68
2255,-1.5283203125,50.75,9446972,8,69
2256,-1.5302734375,50.75,9446972,12,68
2257,-1.5283203125,50.75,9446972,7,69
2258,-1.5302734375,50.75,9446972,9,68
2259,-1.5283203125,50.75,9446972,7,69
2260,-1.5302734375,50.75,9446972,13,68
2261,-1.5283203125,50.75,9446972,8,69
2263,-1.5283203125,50.75,9446972,8,69
2264,-1.529296875,50.75,9446972,11,70
2265,-1.5283203125,50.75,9446972,7,69
2266,-1.5302734375,50.75,9446972,10,68
2267,-1.5283203125,50.75,9446972,8,69
2268,-1.5302734375,50.75,9446972,12,68
