LONGITUDE,LATITUDE,PORT_NAME,PORT_CODE,CNTR_CODE3,SIZE,geometry,Master
-28.21002197,38.67852783,VELAS,VEL_1,PRT,6.0,POINT (-28.21002197 38.67852783),
-31.09851074,39.67852783,PORTOS DOS AZORES,VNC,PRT,,POINT (-31.09851074 39.67852783),
-28.31908314075423,38.53084830368948,SAO ROQUE,CDP,PRT,5.0,POINT (-28.31908314075423 38.53084830368948),
-31.16737338,39.37833333,PORTO DA LAJES DAS FLORES,LAJ,PRT,1.0,POINT (-31.16737338 39.37833333),
-8.823027091,41.68638889,PORTO DE VIANA DO CASTELO,VDC_2,PRT,4.0,POINT (-8.823027091 41.68638889),SHADILI_1
-8.73828033,41.34527778,PORTO DE VILA DO CONDE,VIC,PRT,,POINT (-8.73828033 41.34527778),
-8.7196702,40.64361111,PORTO DE AVEIRO,AVE_2,PRT,80.0,POINT (-8.719670199999999 40.64361111),GAFANHA DA NAZARE
-28.015803,38.60621750100006,SAO ROQUE DO PICO,SAO_4,PRT,,POINT (-28.015803 38.60621750100006),
32.866667,66.683333,POYAKONDA,POY,RUS,,POINT (32.866667 66.683333),
34.366667,66.666667,UMBA,UMB,RUS,,POINT (34.366667 66.666667),
33.033333,68.983333,MURMANSK_1,MUR_1,RUS,98.0,POINT (33.033333 68.983333),
32.31666666666667,67.08333333333333,VITINO,VIT,RUS,,POINT (32.31666666666667 67.08333333333333),
39.933333,43.433333,ADLER,ADL,RUS,,POINT (39.933333 43.433333),
38.95,47.2,TAGANROG,TAG,RUS,59.0,POINT (38.95 47.2),
39.716667,47.166667,ROSTOV-NA-DONU_2,RND,RUS,1.0,POINT (39.716667 47.166667),
39.433333,47.1,AZOV,AZO,RUS,111.0,POINT (39.433333 47.1),
38.266667,46.733333,YEYSK,YEY,RUS,58.0,POINT (38.266667 46.733333),YEYSK_1
37.35,45.35,GOLUBITSKAYA,GOL,RUS,118.0,POINT (37.35 45.35),
37.316667,44.883333,ANAPA,AAQ,RUS,,POINT (37.316667 44.883333),
36.65,45.333333,TAMAN',TAM,RUS,1.0,POINT (36.65 45.333333),
38.066667,44.55,GELENDZHIK,GEL,RUS,43.0,POINT (38.066667 44.55),
130.8,42.65,KRASKINO,KRA_1,RUS,133.0,POINT (130.8 42.65),KRASKINO
132.683333,42.866667,LIVADIYA,LIV_2,RUS,27.0,POINT (132.683333 42.866667),
131.133333,42.616667,ZARUBINO,ZAR,RUS,18.0,POINT (131.133333 42.616667),
20.483333,54.7,KALININGRAD,KGD,RUS,69.0,POINT (20.483333 54.7),
28.316667,59.666667,UST'-LUGA,UST_1,RUS,8.0,POINT (28.316667 59.666667),
30.3,59.933333,SAINT PETERSBURG_1,SAI_1_1,RUS,47.0,POINT (30.3 59.933333),
28.566667,60.616667,VYSOTSK,VYS_1,RUS,96.0,POINT (28.566667 60.616667),
29.766667,59.916667,LOMONOSOV,LOM,RUS,47.0,POINT (29.766667 59.916667),
14.62030029,53.64788818,STEPNICA,SPA_1,POL,,POINT (14.62030029 53.64788818),
158.65,53.05,PETROPAVLOVSK-KAMCHATSKY,PET_1,RUS,75.0,POINT (158.65 53.05),
142.133333,49.45,LESOGORSK,LES,RUS,,POINT (142.133333 49.45),
143.55,52.7,TUNGOR,TUN,RUS,,POINT (143.55 52.7),
179.366667,63.066667,BERINGOVSKIY_1,BER_2,RUS,,POINT (179.366667 63.066667),
-173.2333333333333,64.41666666666667,PROVIDENIYA,PRO_2,RUS,2.0,POINT (-173.2333333333333 64.41666666666667),
80.51666666666667,73.5,DIKSON,DIK,RUS,2.0,POINT (80.51666666666667 73.5),
150.7166666666667,59.56666666666667,MAGADAN_2,MAG_4,RUS,15.0,POINT (150.7166666666667 59.56666666666667),
21.07049561,56.03833008,BUTINGE,BOT_1,LTU,,POINT (21.07049561 56.03833008),
20.95,56.033333,SVENTOJI,SVE_3,LTU,49.0,POINT (20.95 56.033333),
143.133333,49.216667,PORONAYSK,POR_2_1,RUS,,POINT (143.133333 49.216667),
165.983333,55.2,UST'-KAMCHATSK STARYY,UST_2,RUS,,POINT (165.983333 55.2),
-173.3,64.383333,PROVIDENIYA_1,PRO_1_1,RUS,4.0,POINT (-173.3 64.38333299999999),
162.316667,69.633333,CHERSKIY,CHE_4,RUS,,POINT (162.316667 69.63333299999999),
128.866667,71.633333,TIKSI,IKS,RUS,3.0,POINT (128.866667 71.63333299999999),
80.45,73.5,DIKSON_1,DIK_1,RUS,2.0,POINT (80.45 73.5),
84.433333,69.666667,DUDINKA_1,DUD_1,RUS,,POINT (84.433333 69.666667),
72.9,67.666667,NYDA,NYD,RUS,,POINT (72.90000000000001 67.666667),
40.533333,64.533333,ARKHANGEL'SK,ARK_1,RUS,45.0,POINT (40.533333 64.533333),
143.2,59.366667,OKHOTSK_1,OKH,RUS,,POINT (143.2 59.366667),
142.133333,50.9,ALEKSANDROVSK-SAKHALINSKIY,ALE,RUS,,POINT (142.133333 50.9),
142.5,53.583333,OKHA,OKH_1,RUS,,POINT (142.5 53.583333),
142.1,50.733333,ALEKSANDROVSK-SAKHALINSKIY_1,ALE_1,RUS,,POINT (142.1 50.733333),
140.283333,49.083333,VANINO_1,VAN,RUS,83.0,POINT (140.283333 49.083333),VANINO_1
140.783333,51.466667,DE-KASTRI_1,DE-,RUS,99.0,POINT (140.783333 51.466667),
143.0,53.55,OKHA_1,OKH_2,RUS,,POINT (143 53.55),
23.4493236541926,59.97569656410195,TAMMISAARI,TAI_6,FIN,,POINT (23.4493236541926 59.97569656410195),
20.89464350000009,59.93532600100008,KOKAR,KKR,FIN,,POINT (20.89464350000009 59.93532600100008),
23.25272950000004,59.90085300100009,LAPPOHJA,LAP,FIN,,POINT (23.25272950000004 59.90085300100009),
23.22519852264105,59.88207701083911,KOVERHAR,KVH,FIN,5.0,POINT (23.22519852264105 59.88207701083911),
23.31455629722993,59.90921467437511,SKOGBY,SKB,FIN,,POINT (23.31455629722993 59.90921467437511),
21.59843826319252,60.555500030102,TAIVASSALO,TVS,FIN,,POINT (21.59843826319252 60.555500030102),
21.38333333333335,60.8,UUSIKAUPUNKI,UUS,FIN,53.0,POINT (21.38333333333335 60.8),
22.5394611361925,63.51638412510192,UUSIKAARLEPYY,UKP,FIN,,POINT (22.5394611361925 63.51638412510192),
22.5000006181655,60.06670015407741,DRAGSFJARD,DRA_1,FIN,,POINT (22.5000006181655 60.06670015407741),
22.86735734667982,60.09984207153323,FORBY,FOR_1,FIN,,POINT (22.86735734667982 60.09984207153323),
19.98383522019247,60.22591018710199,GODBY,GDB,FIN,,POINT (19.98383522019247 60.22591018710199),
24.02065849319249,60.04978942910191,INKOO,INK,FIN,47.0,POINT (24.02065849319249 60.04978942910191),
22.73875045819256,60.16316986110201,KEMIO,KIM_1,FIN,,POINT (22.73875045819256 60.16316986110201),
23.93333333333334,64.26666666666671,KALAJOKI,KJO,FIN,,POINT (23.93333333333334 64.26666666666671),
21.58329969493212,60.16669877362449,KORPOO,KOR_2,FIN,,POINT (21.58329969493212 60.16669877362449),
21.36418724019245,62.272426605102,KRISTINESTAD,KRI,FIN,,POINT (21.36418724019245 62.272426605102),
20.78333333333333,60.28333333333333,KUMLINGE,KUM,FIN,,POINT (20.78333333333333 60.28333333333333),
22.01666666666668,60.46666666666667,NAANTALI,NLI,FIN,126.0,POINT (22.01666666666668 60.46666666666667),
27.88333333,62.3,VARKAUS,VRK_1,FIN,,POINT (27.88333333 62.3),
28.81666667,61.21666667,VUOKSEN TERMINAL,VKT,FIN,,POINT (28.81666667 61.21666667),
26.25,60.4,VALKO (VALKOM),VKO,FIN,,POINT (26.25 60.4),VALKO (VALKOM)
30.1336625,62.1001855,KITEE,KTQ,FIN,,POINT (30.1336625 62.1001855),
27.69579258,62.88647233,KUOPIO,KUO,FIN,,POINT (27.69579258 62.88647233),
28.2,61.06666667,LAPPEENRANTA,LPP,FIN,,POINT (28.2 61.06666667),
27.302623,63.157106,MAANINKA,MAA,FIN,,POINT (27.302623 63.157106),
27.3,61.68333333,MIKKELI,MIK,FIN,,POINT (27.3 61.68333333),
6.138822555,51.34168243,TEGELEN,TEG,NLD,,POINT (6.138822555 51.34168243),
6.039051533,51.23338318,SWALMEN,SWM,NLD,,POINT (6.039051533 51.23338318),
5.766337871,50.96847534,STEIN,STI,NLD,,POINT (5.766337871 50.96847534),
3.833333333,51.3,SLUISKIL,SLU,NLD,238.0,POINT (3.833333333 51.3),
29.14834596,63.54185073,NURMES,NUR,FIN,,POINT (29.14834596 63.54185073),
26.06408691,60.43048096,PERNAJA,PER_1,FIN,,POINT (26.06408691 60.43048096),
25.66680815,60.38567462,PORVOO,PRV_2,FIN,,POINT (25.66680815 60.38567462),
28.181316,61.524351,PUUMALA,PUU,FIN,,POINT (28.181316 61.524351),
24.46392822,64.68249512,RAAHE,RAA_1,FIN,,POINT (24.46392822 64.68249512),
27.2591735,61.5103105,RISTIINA,RIS,FIN,,POINT (27.2591735 61.5103105),
26.46612549,60.48730469,RUOTSINPYHTAA,RUO,FIN,,POINT (26.46612549 60.48730469),
27.66822624,63.07390213,SIILINJARVI,SII,FIN,,POINT (27.66822624 63.07390213),
25.35229492,60.26409912,SIPOONLAHTI,SIP,FIN,,POINT (25.35229492 60.26409912),
25.5526275,60.307724,SKOLDVIK,SKV,FIN,569.0,POINT (25.5526275 60.307724),
28.8852643,61.86742687,SAVONLINNA,SVL,FIN,,POINT (28.8852643 61.86742687),
25.57751465,60.33447266,TOLKKINEN,TOK,FIN,,POINT (25.57751465 60.33447266),
30.25757027,62.91310501,UIMAHARJU,UIM,FIN,,POINT (30.25757027 62.91310501),
22.29637527419251,60.30070114110197,PARAINEN,PAR_2_1,FIN,,POINT (22.29637527419251 60.30070114110197),
23.5522,60.0981,POHJANKURU,POH,FIN,,POINT (23.5522 60.0981),
21.75,61.48333333333338,PORI,POR_3,FIN,,POINT (21.75 61.48333333333338),
23.08455285754403,60.36720275878903,SALO,SAL_3,FIN,,POINT (23.08455285754403 60.36720275878903),
25.3526954651926,65.173667908102,HAUKIPUDAS,HAU_1,FIN,,POINT (25.3526954651926 65.173667908102),
27.18333333333337,63.55,IISALMI,IIS,FIN,,POINT (27.18333333333337 63.55),
